Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Direccion_API,Latitud,Longitud
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA EXTRA OXIGENADA,17880.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,BIODIESEL EXTRA,9040.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA CORRIENTE OXIGENADA,9010.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,BIODIESEL EXTRA,9040.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA CORRIENTE OXIGENADA,8990.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL LA 45,TERPEL,CARRERA 45 No. 66-10,GASOLINA EXTRA OXIGENADA,17340.0,A,"CARRERA 45 No. 66-10, Medellin, Colombia",6.28685,-75.55267
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,GASOLINA EXTRA OXIGENADA,19920.0,A,"Carrera 48 No 15 sur 30, Medellin, Colombia",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,BIODIESEL EXTRA,10610.0,A,"Carrera 48 No 15 sur 30, Medellin, Colombia",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,GASOLINA EXTRA OXIGENADA,18990.0,A,"Carrera 48 No 15 sur 30, Medellin, Colombia",6.19221,-75.58
2022,6,5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LA AGUACATALA,MOBIL,Carrera 48 No 15 sur 30,GASOLINA CORRIENTE OXIGENADA,9910.0,A,"Carrera 48 No 15 sur 30, Medellin, Colombia",6.19221,-75.58
